 32 |  16384 |  0.107520
 32 |  15872 |  0.099008
 32 |  15360 |  0.116544
 32 |  14848 |  0.078848
 32 |  14336 |  0.088064
 32 |  13824 |  0.123904
 32 |  13312 |  0.102400
 32 |  12800 |  0.107680
 32 |  12288 |  0.070720
 32 |  11776 |  0.090112
 32 |  11264 |  0.092064
 32 |  10752 |  0.119680
 32 |  10240 |  0.130368
 32 |  9728 |  0.105472
 32 |  9216 |  0.060224
 32 |  8704 |  0.104448
 32 |  8192 |  0.050176
 32 |  7680 |  0.113664
 32 |  7168 |  0.121856
 32 |  6656 |  0.093184
 32 |  6144 |  0.139328
 32 |  5632 |  0.109376
 32 |  5120 |  0.133952
 32 |  4608 |  0.170880
 32 |  4096 |  0.134528
 32 |  3584 |  0.110752
 32 |  3072 |  0.122752
 32 |  2560 |  0.126912
 32 |  2048 |  0.116192
 32 |  1536 |  0.126144
 32 |  1280 |  0.127616
 32 |  1024 |  0.131072
 32 |  768 |  0.108512
 32 |  640 |  0.092160
 32 |  512 |  0.055296
 32 |  384 |  0.105472
 32 |  320 |  0.059712
 32 |  256 |  0.160832
 32 |  192 |  0.097728
 32 |  160 |  0.056320
 32 |  128 |  0.159616
 32 |  96 |  0.112608
 32 |  80 |  0.114720
 32 |  64 |  0.108544
 32 |  48 |  0.098816
 32 |  40 |  0.061504
 32 |  32 |  0.123904
 32 |  24 |  0.056416
 32 |  20 |  0.097280
 32 |  16 |  0.119072
 32 |  12 |  0.106624
 32 |  10 |  0.144128
 32 |  8 |  0.117888
 32 |  6 |  0.092864
 32 |  5 |  0.092960
 32 |  4 |  0.095968
