num_tree | num_queries | time_taken
 64 |  8064 |  0.073728
 64 |  7936 |  0.088064
 64 |  7808 |  0.060416
 64 |  7680 |  0.076800
 64 |  7552 |  0.089728
 64 |  7424 |  0.075904
 64 |  7296 |  0.069632
 64 |  7168 |  0.109760
 64 |  7040 |  0.082944
 64 |  6912 |  0.123072
 64 |  6784 |  0.106176
 64 |  6656 |  0.120928
 64 |  6528 |  0.099136
 64 |  6400 |  0.125312
 64 |  6272 |  0.104448
 64 |  6144 |  0.111616
 64 |  6016 |  0.066720
 64 |  5888 |  0.109568
 64 |  5760 |  0.083936
 64 |  5632 |  0.066144
 64 |  5504 |  0.073728
 64 |  5376 |  0.084992
 64 |  5248 |  0.074816
 64 |  5120 |  0.082048
 64 |  4992 |  0.139520
 64 |  4864 |  0.114240
 64 |  4736 |  0.175104
 64 |  4608 |  0.102688
 64 |  4480 |  0.089216
 64 |  4352 |  0.112704
 64 |  4224 |  0.180640
 64 |  4096 |  0.106496
 64 |  3968 |  0.134240
 64 |  3840 |  0.109248
 64 |  3712 |  0.095584
 64 |  3584 |  0.108544
 64 |  3456 |  0.072704
 64 |  3328 |  0.069824
 64 |  3200 |  0.129472
 64 |  3072 |  0.129024
 64 |  2944 |  0.116576
 64 |  2816 |  0.066656
 64 |  2688 |  0.180960
 64 |  2560 |  0.111904
 64 |  2432 |  0.071680
 64 |  2304 |  0.104448
 64 |  2176 |  0.071296
 64 |  2048 |  0.068320
 64 |  1920 |  0.101280
 64 |  1792 |  0.099328
 64 |  1664 |  0.146560
 64 |  1536 |  0.072416
 64 |  1408 |  0.082944
 64 |  1280 |  0.068640
 64 |  1152 |  0.144512
 64 |  1024 |  0.123072
 64 |  896 |  0.092160
 64 |  768 |  0.092448
 64 |  640 |  0.130528
 64 |  512 |  0.112320
 64 |  384 |  0.150784
 64 |  256 |  0.112640
 64 |  128 |  0.103424
