num_tree | num_queries | time_taken
 4 |  16376 |  0.052224
 4 |  16368 |  0.112768
 4 |  16360 |  0.111488
 4 |  16352 |  0.106496
 4 |  16344 |  0.099328
 4 |  16336 |  0.106432
 4 |  16328 |  0.093792
 4 |  16320 |  0.103680
 4 |  16312 |  0.107968
 4 |  16304 |  0.120832
 4 |  16296 |  0.104064
 4 |  16288 |  0.108864
 4 |  16280 |  0.094880
 4 |  16272 |  0.100352
 4 |  16264 |  0.105408
 4 |  16256 |  0.081856
 4 |  16248 |  0.113248
 4 |  16240 |  0.092320
 4 |  16232 |  0.124736
 4 |  16224 |  0.061440
 4 |  16216 |  0.128960
 4 |  16208 |  0.156672
 4 |  16200 |  0.130688
 4 |  16192 |  0.106368
 4 |  16184 |  0.072064
 4 |  16176 |  0.113440
 4 |  16168 |  0.061600
 4 |  16160 |  0.083968
 4 |  16152 |  0.125728
 4 |  16144 |  0.070656
 4 |  16136 |  0.097376
 4 |  16128 |  0.129664
 4 |  16120 |  0.126976
 4 |  16112 |  0.125088
 4 |  16104 |  0.088896
 4 |  16096 |  0.074560
 4 |  16088 |  0.062560
 4 |  16080 |  0.088288
 4 |  16072 |  0.065536
 4 |  16064 |  0.107200
 4 |  16056 |  0.122688
 4 |  16048 |  0.127008
 4 |  16040 |  0.118784
 4 |  16032 |  0.124544
 4 |  16024 |  0.105600
 4 |  16016 |  0.102400
 4 |  16008 |  0.110752
 4 |  16000 |  0.147520
 4 |  15992 |  0.128000
 4 |  15984 |  0.092224
 4 |  15976 |  0.080768
 4 |  15968 |  0.078400
 4 |  15960 |  0.089440
 4 |  15952 |  0.065056
 4 |  15944 |  0.125920
 4 |  15936 |  0.106560
 4 |  15928 |  0.100992
 4 |  15920 |  0.123456
 4 |  15912 |  0.124928
 4 |  15904 |  0.111328
 4 |  15896 |  0.143360
 4 |  15888 |  0.134528
 4 |  15880 |  0.134336
 4 |  15872 |  0.127360
 4 |  15864 |  0.075904
 4 |  15856 |  0.110208
 4 |  15848 |  0.101376
 4 |  15840 |  0.097280
 4 |  15832 |  0.179488
 4 |  15824 |  0.081856
 4 |  15816 |  0.145696
 4 |  15808 |  0.087200
 4 |  15800 |  0.140288
 4 |  15792 |  0.083392
 4 |  15784 |  0.148288
 4 |  15776 |  0.086016
 4 |  15768 |  0.087200
 4 |  15760 |  0.068608
 4 |  15752 |  0.117632
 4 |  15744 |  0.142496
 4 |  15736 |  0.105184
 4 |  15728 |  0.112640
 4 |  15720 |  0.090528
 4 |  15712 |  0.084992
 4 |  15704 |  0.116448
 4 |  15696 |  0.069856
 4 |  15688 |  0.138368
 4 |  15680 |  0.106496
 4 |  15672 |  0.096800
 4 |  15664 |  0.073664
 4 |  15656 |  0.084800
 4 |  15648 |  0.088640
 4 |  15640 |  0.083904
 4 |  15632 |  0.104000
 4 |  15624 |  0.065824
 4 |  15616 |  0.099328
 4 |  15608 |  0.110720
 4 |  15600 |  0.136448
 4 |  15592 |  0.127680
 4 |  15584 |  0.112768
 4 |  15576 |  0.089184
 4 |  15568 |  0.064384
 4 |  15560 |  0.101344
 4 |  15552 |  0.060864
 4 |  15544 |  0.112832
 4 |  15536 |  0.121760
 4 |  15528 |  0.116736
 4 |  15520 |  0.074816
 4 |  15512 |  0.110464
 4 |  15504 |  0.103392
 4 |  15496 |  0.131072
 4 |  15488 |  0.101952
 4 |  15480 |  0.070656
 4 |  15472 |  0.095232
 4 |  15464 |  0.114688
 4 |  15456 |  0.108064
 4 |  15448 |  0.120864
 4 |  15440 |  0.077824
 4 |  15432 |  0.105216
 4 |  15424 |  0.105312
 4 |  15416 |  0.084160
 4 |  15408 |  0.069632
 4 |  15400 |  0.130048
 4 |  15392 |  0.116704
 4 |  15384 |  0.064736
 4 |  15376 |  0.083840
 4 |  15368 |  0.125312
 4 |  15360 |  0.139040
 4 |  15352 |  0.108544
 4 |  15344 |  0.172320
 4 |  15336 |  0.122880
 4 |  15328 |  0.246656
 4 |  15320 |  0.065536
 4 |  15312 |  0.109344
 4 |  15304 |  0.087904
 4 |  15296 |  0.107872
 4 |  15288 |  0.086848
 4 |  15280 |  0.090112
 4 |  15272 |  0.128000
 4 |  15264 |  0.110432
 4 |  15256 |  0.102336
 4 |  15248 |  0.106144
 4 |  15240 |  0.115712
 4 |  15232 |  0.111552
 4 |  15224 |  0.082976
 4 |  15216 |  0.076800
 4 |  15208 |  0.094400
 4 |  15200 |  0.116928
 4 |  15192 |  0.114976
 4 |  15184 |  0.096448
 4 |  15176 |  0.103840
 4 |  15168 |  0.109024
 4 |  15160 |  0.124992
 4 |  15152 |  0.118784
 4 |  15144 |  0.100288
 4 |  15136 |  0.147456
 4 |  15128 |  0.089088
 4 |  15120 |  0.086624
 4 |  15112 |  0.140064
 4 |  15104 |  0.110720
 4 |  15096 |  0.152928
 4 |  15088 |  0.119808
 4 |  15080 |  0.115104
 4 |  15072 |  0.146432
 4 |  15064 |  0.097952
 4 |  15056 |  0.098080
 4 |  15048 |  0.081984
 4 |  15040 |  0.071680
 4 |  15032 |  0.138336
 4 |  15024 |  0.078752
 4 |  15016 |  0.085440
 4 |  15008 |  0.103424
 4 |  15000 |  0.084864
 4 |  14992 |  0.100128
 4 |  14984 |  0.081184
 4 |  14976 |  0.082624
 4 |  14968 |  0.075776
 4 |  14960 |  0.104160
 4 |  14952 |  0.142336
 4 |  14944 |  0.098272
 4 |  14936 |  0.135168
 4 |  14928 |  0.090848
 4 |  14920 |  0.066560
 4 |  14912 |  0.118688
 4 |  14904 |  0.069600
 4 |  14896 |  0.137216
 4 |  14888 |  0.108960
 4 |  14880 |  0.138400
 4 |  14872 |  0.086016
 4 |  14864 |  0.113088
 4 |  14856 |  0.103232
 4 |  14848 |  0.163840
 4 |  14840 |  0.094176
 4 |  14832 |  0.075776
 4 |  14824 |  0.097952
