num_tree | num_queries | time_taken
 8 |  16368 |  0.106528
 8 |  16352 |  0.075744
 8 |  16336 |  0.071680
 8 |  16320 |  0.151552
 8 |  16304 |  0.079488
 8 |  16288 |  0.072192
 8 |  16272 |  0.110592
 8 |  16256 |  0.111616
 8 |  16240 |  0.056352
 8 |  16224 |  0.072704
 8 |  16208 |  0.087040
 8 |  16192 |  0.075136
 8 |  16176 |  0.106496
 8 |  16160 |  0.123680
 8 |  16144 |  0.154624
 8 |  16128 |  0.114688
 8 |  16112 |  0.104096
 8 |  16096 |  0.173952
 8 |  16080 |  0.065312
 8 |  16064 |  0.072704
 8 |  16048 |  0.087584
 8 |  16032 |  0.120512
 8 |  16016 |  0.158080
 8 |  16000 |  0.100352
 8 |  15984 |  0.121856
 8 |  15968 |  0.114688
 8 |  15952 |  0.111616
 8 |  15936 |  0.118752
 8 |  15920 |  0.094208
 8 |  15904 |  0.075776
 8 |  15888 |  0.090688
 8 |  15872 |  0.208896
 8 |  15856 |  0.131808
 8 |  15840 |  0.120096
 8 |  15824 |  0.085600
 8 |  15808 |  0.081984
 8 |  15792 |  0.126240
 8 |  15776 |  0.103872
 8 |  15760 |  0.075648
 8 |  15744 |  0.126784
 8 |  15728 |  0.144544
 8 |  15712 |  0.131904
 8 |  15696 |  0.088064
 8 |  15680 |  0.105472
 8 |  15664 |  0.095232
 8 |  15648 |  0.098336
 8 |  15632 |  0.082624
 8 |  15616 |  0.126976
 8 |  15600 |  0.208512
 8 |  15584 |  0.103424
 8 |  15568 |  0.146432
 8 |  15552 |  0.113664
 8 |  15536 |  0.237344
 8 |  15520 |  0.074464
 8 |  15504 |  0.100352
 8 |  15488 |  0.097280
 8 |  15472 |  0.110592
 8 |  15456 |  0.121440
 8 |  15440 |  0.100064
 8 |  15424 |  0.097344
 8 |  15408 |  0.084096
 8 |  15392 |  0.084384
 8 |  15376 |  0.145920
 8 |  15360 |  0.097472
 8 |  15344 |  0.098560
 8 |  15328 |  0.102848
 8 |  15312 |  0.105440
 8 |  15296 |  0.125024
 8 |  15280 |  0.169984
 8 |  15264 |  0.116736
 8 |  15248 |  0.105536
 8 |  15232 |  0.096896
 8 |  15216 |  0.076992
 8 |  15200 |  0.089728
 8 |  15184 |  0.089280
 8 |  15168 |  0.077728
 8 |  15152 |  0.096576
 8 |  15136 |  0.063488
 8 |  15120 |  0.102144
 8 |  15104 |  0.068608
 8 |  15088 |  0.092960
 8 |  15072 |  0.100384
 8 |  15056 |  0.058240
 8 |  15040 |  0.088288
 8 |  15024 |  0.201952
 8 |  15008 |  0.150176
 8 |  14992 |  0.103488
 8 |  14976 |  0.101312
 8 |  14960 |  0.067360
 8 |  14944 |  0.102336
 8 |  14928 |  0.086848
 8 |  14912 |  0.075808
 8 |  14896 |  0.100544
 8 |  14880 |  0.144384
 8 |  14864 |  0.093984
 8 |  14848 |  0.095008
 8 |  14832 |  0.065408
 8 |  14816 |  0.132704
 8 |  14800 |  0.123744
 8 |  14784 |  0.141248
 8 |  14768 |  0.105472
 8 |  14752 |  0.080544
 8 |  14736 |  0.095104
 8 |  14720 |  0.089376
 8 |  14704 |  0.085376
 8 |  14688 |  0.064512
 8 |  14672 |  0.068448
 8 |  14656 |  0.121856
 8 |  14640 |  0.052224
 8 |  14624 |  0.053216
 8 |  14608 |  0.071680
 8 |  14592 |  0.081760
 8 |  14576 |  0.101376
 8 |  14560 |  0.112320
 8 |  14544 |  0.056320
 8 |  14528 |  0.110816
 8 |  14512 |  0.101376
 8 |  14496 |  0.061952
 8 |  14480 |  0.088064
 8 |  14464 |  0.117760
 8 |  14448 |  0.052032
 8 |  14432 |  0.072960
 8 |  14416 |  0.102688
 8 |  14400 |  0.108544
 8 |  14384 |  0.070432
 8 |  14368 |  0.087296
 8 |  14352 |  0.057344
 8 |  14336 |  0.061792
 8 |  14320 |  0.057920
 8 |  14304 |  0.077472
 8 |  14288 |  0.058368
 8 |  14272 |  0.077056
 8 |  14256 |  0.092608
 8 |  14240 |  0.075616
 8 |  14224 |  0.090752
 8 |  14208 |  0.107072
 8 |  14192 |  0.107904
 8 |  14176 |  0.076800
 8 |  14160 |  0.053056
 8 |  14144 |  0.107520
 8 |  14128 |  0.106624
 8 |  14112 |  0.069632
 8 |  14096 |  0.096992
 8 |  14080 |  0.103232
 8 |  14064 |  0.094208
 8 |  14048 |  0.097280
 8 |  14032 |  0.059584
 8 |  14016 |  0.060256
 8 |  14000 |  0.121312
 8 |  13984 |  0.075680
 8 |  13968 |  0.050144
 8 |  13952 |  0.079520
 8 |  13936 |  0.134624
 8 |  13920 |  0.090304
 8 |  13904 |  0.123104
 8 |  13888 |  0.098368
 8 |  13872 |  0.088672
 8 |  13856 |  0.104768
 8 |  13840 |  0.048288
 8 |  13824 |  0.100736
 8 |  13808 |  0.145408
 8 |  13792 |  0.056320
 8 |  13776 |  0.088800
 8 |  13760 |  0.078432
 8 |  13744 |  0.098496
 8 |  13728 |  0.106496
 8 |  13712 |  0.133216
 8 |  13696 |  0.078592
 8 |  13680 |  0.111424
 8 |  13664 |  0.092160
 8 |  13648 |  0.068672
 8 |  13632 |  0.076800
 8 |  13616 |  0.104448
 8 |  13600 |  0.059488
 8 |  13584 |  0.133120
 8 |  13568 |  0.100352
 8 |  13552 |  0.106400
 8 |  13536 |  0.117760
 8 |  13520 |  0.073024
 8 |  13504 |  0.088352
 8 |  13488 |  0.121824
 8 |  13472 |  0.088160
 8 |  13456 |  0.118976
 8 |  13440 |  0.080960
 8 |  13424 |  0.065856
 8 |  13408 |  0.101344
 8 |  13392 |  0.139264
 8 |  13376 |  0.142496
 8 |  13360 |  0.159200
 8 |  13344 |  0.099648
 8 |  13328 |  0.130944
 8 |  13312 |  0.060512
 8 |  13296 |  0.108544
 8 |  13280 |  0.100352
 8 |  13264 |  0.157696
 8 |  13248 |  0.141760
 8 |  13232 |  0.078560
 8 |  13216 |  0.091328
 8 |  13200 |  0.124928
 8 |  13184 |  0.091232
 8 |  13168 |  0.105696
 8 |  13152 |  0.098720
 8 |  13136 |  0.115680
 8 |  13120 |  0.098144
 8 |  13104 |  0.123264
 8 |  13088 |  0.065728
 8 |  13072 |  0.069952
 8 |  13056 |  0.143328
 8 |  13040 |  0.119456
 8 |  13024 |  0.062592
 8 |  13008 |  0.132288
 8 |  12992 |  0.082944
 8 |  12976 |  0.059392
 8 |  12960 |  0.123936
 8 |  12944 |  0.086432
 8 |  12928 |  0.164864
 8 |  12912 |  0.086016
 8 |  12896 |  0.129024
 8 |  12880 |  0.058848
 8 |  12864 |  0.153632
 8 |  12848 |  0.115744
 8 |  12832 |  0.095296
 8 |  12816 |  0.068480
 8 |  12800 |  0.065440
 8 |  12784 |  0.073120
 8 |  12768 |  0.075968
 8 |  12752 |  0.111616
 8 |  12736 |  0.091136
 8 |  12720 |  0.098816
 8 |  12704 |  0.073248
 8 |  12688 |  0.137312
 8 |  12672 |  0.087904
 8 |  12656 |  0.167616
 8 |  12640 |  0.087904
 8 |  12624 |  0.109856
 8 |  12608 |  0.117856
 8 |  12592 |  0.120384
 8 |  12576 |  0.186176
 8 |  12560 |  0.108640
 8 |  12544 |  0.087232
 8 |  12528 |  0.130048
 8 |  12512 |  0.126176
 8 |  12496 |  0.129216
 8 |  12480 |  0.049440
 8 |  12464 |  0.101792
 8 |  12448 |  0.086272
 8 |  12432 |  0.106368
 8 |  12416 |  0.129024
 8 |  12400 |  0.119808
 8 |  12384 |  0.116608
 8 |  12368 |  0.079264
 8 |  12352 |  0.083712
 8 |  12336 |  0.080608
 8 |  12320 |  0.092160
 8 |  12304 |  0.101376
 8 |  12288 |  0.135488
 8 |  12272 |  0.184320
 8 |  12256 |  0.122656
 8 |  12240 |  0.124928
 8 |  12224 |  0.156384
 8 |  12208 |  0.108672
 8 |  12192 |  0.102176
 8 |  12176 |  0.083744
 8 |  12160 |  0.119808
 8 |  12144 |  0.061056
 8 |  12128 |  0.105536
 8 |  12112 |  0.111616
 8 |  12096 |  0.113728
 8 |  12080 |  0.104448
 8 |  12064 |  0.063616
 8 |  12048 |  0.106496
 8 |  12032 |  0.126784
 8 |  12016 |  0.105120
 8 |  12000 |  0.133120
 8 |  11984 |  0.109472
 8 |  11968 |  0.080896
 8 |  11952 |  0.139136
