num_tree | num_queries | time_taken
 4 |  8184 |  0.062496
 4 |  8176 |  0.096192
 4 |  8168 |  0.095232
 4 |  8160 |  0.077824
 4 |  8152 |  0.091520
 4 |  8144 |  0.107520
 4 |  8136 |  0.129024
 4 |  8128 |  0.091840
 4 |  8120 |  0.088032
 4 |  8112 |  0.065472
 4 |  8104 |  0.135168
 4 |  8096 |  0.113024
 4 |  8088 |  0.111840
 4 |  8080 |  0.125792
 4 |  8072 |  0.104448
 4 |  8064 |  0.138240
 4 |  8056 |  0.112640
 4 |  8048 |  0.117760
 4 |  8040 |  0.127264
 4 |  8032 |  0.130368
 4 |  8024 |  0.060192
 4 |  8016 |  0.101888
 4 |  8008 |  0.109600
 4 |  8000 |  0.105504
 4 |  7992 |  0.067776
 4 |  7984 |  0.104672
 4 |  7976 |  0.135968
 4 |  7968 |  0.148480
 4 |  7960 |  0.086688
 4 |  7952 |  0.101568
 4 |  7944 |  0.096384
 4 |  7936 |  0.070464
 4 |  7928 |  0.063488
 4 |  7920 |  0.071904
 4 |  7912 |  0.107520
 4 |  7904 |  0.103168
 4 |  7896 |  0.106880
 4 |  7888 |  0.123552
 4 |  7880 |  0.090368
 4 |  7872 |  0.085984
 4 |  7864 |  0.076768
 4 |  7856 |  0.064256
 4 |  7848 |  0.113664
 4 |  7840 |  0.118784
 4 |  7832 |  0.112640
 4 |  7824 |  0.108544
 4 |  7816 |  0.112608
 4 |  7808 |  0.056768
 4 |  7800 |  0.075808
 4 |  7792 |  0.131168
 4 |  7784 |  0.107520
 4 |  7776 |  0.087616
 4 |  7768 |  0.110048
 4 |  7760 |  0.122880
 4 |  7752 |  0.102304
 4 |  7744 |  0.092320
 4 |  7736 |  0.085152
 4 |  7728 |  0.086080
 4 |  7720 |  0.154624
 4 |  7712 |  0.076800
 4 |  7704 |  0.115712
 4 |  7696 |  0.105440
 4 |  7688 |  0.059392
 4 |  7680 |  0.058496
 4 |  7672 |  0.117760
