 32 |  16384 |  0.108384
 32 |  15872 |  0.064512
 32 |  15360 |  0.121696
 32 |  14848 |  0.067872
 32 |  14336 |  0.096192
 32 |  13824 |  0.079872
 32 |  13312 |  0.106688
 32 |  12800 |  0.088960
 32 |  12288 |  0.099168
 32 |  11776 |  0.126912
 32 |  11264 |  0.118784
 32 |  10752 |  0.125728
 32 |  10240 |  0.068576
 32 |  9728 |  0.096224
 32 |  9216 |  0.286848
 32 |  8704 |  0.095776
 32 |  8192 |  0.109536
 32 |  7680 |  0.111616
 32 |  7168 |  0.059200
 32 |  6656 |  0.098016
 32 |  6144 |  0.145408
 32 |  5632 |  0.133856
 32 |  5120 |  0.100064
 32 |  4608 |  0.091008
 32 |  4096 |  0.083008
 32 |  3584 |  0.091840
 32 |  3072 |  0.051328
 32 |  2560 |  0.070240
 32 |  2048 |  0.095712
 32 |  1536 |  0.101376
 32 |  1280 |  0.053248
 32 |  1024 |  0.115712
 32 |  768 |  0.097280
 32 |  640 |  0.119584
 32 |  512 |  0.090240
 32 |  384 |  0.068416
 32 |  320 |  0.124096
 32 |  256 |  0.068832
 32 |  192 |  0.102816
 32 |  160 |  0.081920
 32 |  128 |  0.096224
 32 |  96 |  0.057440
 32 |  80 |  0.111264
 32 |  64 |  0.058368
 32 |  48 |  0.087264
 32 |  40 |  0.063488
 32 |  32 |  0.108576
 32 |  24 |  0.065952
 32 |  20 |  0.090528
 32 |  16 |  0.065088
 32 |  12 |  0.138464
 32 |  10 |  0.065216
 32 |  8 |  0.109632
 32 |  6 |  0.066592
 32 |  5 |  0.049152
 32 |  4 |  0.084928
